(at time 1, process idx=0 , remaining cpu-burst=15) run-queue [1 2 3 4 5 6 7 8 9], wait-queue []
(at time 2, process idx=0 , remaining cpu-burst=14) run-queue [1 2 3 4 5 6 7 8 9], wait-queue []
(at time 3, process idx=0 , remaining cpu-burst=13) run-queue [1 2 3 4 5 6 7 8 9], wait-queue []
(at time 4, process idx=0 , remaining cpu-burst=12) run-queue [1 2 3 4 5 6 7 8 9], wait-queue []
(at time 5, process idx=0 , remaining cpu-burst=11) run-queue [1 2 3 4 5 6 7 8 9], wait-queue []
(at time 6, process idx=0 , remaining cpu-burst=10) run-queue [1 2 3 4 5 6 7 8 9], wait-queue []
(at time 7, process idx=0 , remaining cpu-burst=9) run-queue [1 2 3 4 5 6 7 8 9], wait-queue []
(at time 8, process idx=0 , remaining cpu-burst=8) run-queue [1 2 3 4 5 6 7 8 9], wait-queue []
(at time 9, process idx=0 , remaining cpu-burst=7) run-queue [1 2 3 4 5 6 7 8 9], wait-queue []
(at time 10, process idx=0 , remaining cpu-burst=6) run-queue [1 2 3 4 5 6 7 8 9], wait-queue []
(at time 11, process idx=0 , remaining cpu-burst=5) run-queue [1 2 3 4 5 6 7 8 9], wait-queue []
(at time 12, process idx=0 , remaining cpu-burst=4) run-queue [1 2 3 4 5 6 7 8 9], wait-queue []
(at time 13, process idx=0 , remaining cpu-burst=3) run-queue [1 2 3 4 5 6 7 8 9], wait-queue []
(at time 14, process idx=0 , remaining cpu-burst=2) run-queue [1 2 3 4 5 6 7 8 9], wait-queue []
(at time 15, process idx=0 , remaining cpu-burst=1) run-queue [1 2 3 4 5 6 7 8 9], wait-queue []
(at time 16, process idx=1 , remaining cpu-burst=20) run-queue [2 3 4 5 6 7 8 9], wait-queue [0(io=9)]
(at time 17, process idx=1 , remaining cpu-burst=19) run-queue [2 3 4 5 6 7 8 9], wait-queue [0(io=8)]
(at time 18, process idx=1 , remaining cpu-burst=18) run-queue [2 3 4 5 6 7 8 9], wait-queue [0(io=7)]
(at time 19, process idx=1 , remaining cpu-burst=17) run-queue [2 3 4 5 6 7 8 9], wait-queue [0(io=6)]
(at time 20, process idx=1 , remaining cpu-burst=16) run-queue [2 3 4 5 6 7 8 9], wait-queue [0(io=5)]
(at time 21, process idx=1 , remaining cpu-burst=15) run-queue [2 3 4 5 6 7 8 9], wait-queue [0(io=4)]
(at time 22, process idx=1 , remaining cpu-burst=14) run-queue [2 3 4 5 6 7 8 9], wait-queue [0(io=3)]
(at time 23, process idx=1 , remaining cpu-burst=13) run-queue [2 3 4 5 6 7 8 9], wait-queue [0(io=2)]
(at time 24, process idx=1 , remaining cpu-burst=12) run-queue [2 3 4 5 6 7 8 9], wait-queue [0(io=1)]
(at time 25, process idx=1 , remaining cpu-burst=11) run-queue [2 3 4 5 6 7 8 9 0], wait-queue []
(at time 26, process idx=1 , remaining cpu-burst=10) run-queue [2 3 4 5 6 7 8 9 0], wait-queue []
(at time 27, process idx=1 , remaining cpu-burst=9) run-queue [2 3 4 5 6 7 8 9 0], wait-queue []
(at time 28, process idx=1 , remaining cpu-burst=8) run-queue [2 3 4 5 6 7 8 9 0], wait-queue []
(at time 29, process idx=1 , remaining cpu-burst=7) run-queue [2 3 4 5 6 7 8 9 0], wait-queue []
(at time 30, process idx=1 , remaining cpu-burst=6) run-queue [2 3 4 5 6 7 8 9 0], wait-queue []
(at time 31, process idx=1 , remaining cpu-burst=5) run-queue [2 3 4 5 6 7 8 9 0], wait-queue []
(at time 32, process idx=1 , remaining cpu-burst=4) run-queue [2 3 4 5 6 7 8 9 0], wait-queue []
(at time 33, process idx=1 , remaining cpu-burst=3) run-queue [2 3 4 5 6 7 8 9 0], wait-queue []
(at time 34, process idx=1 , remaining cpu-burst=2) run-queue [2 3 4 5 6 7 8 9 0], wait-queue []
(at time 35, process idx=1 , remaining cpu-burst=1) run-queue [2 3 4 5 6 7 8 9 0], wait-queue []
(at time 36, process idx=2 , remaining cpu-burst=14) run-queue [3 4 5 6 7 8 9 0], wait-queue [1(io=7)]
(at time 37, process idx=2 , remaining cpu-burst=13) run-queue [3 4 5 6 7 8 9 0], wait-queue [1(io=6)]
(at time 38, process idx=2 , remaining cpu-burst=12) run-queue [3 4 5 6 7 8 9 0], wait-queue [1(io=5)]
(at time 39, process idx=2 , remaining cpu-burst=11) run-queue [3 4 5 6 7 8 9 0], wait-queue [1(io=4)]
(at time 40, process idx=2 , remaining cpu-burst=10) run-queue [3 4 5 6 7 8 9 0], wait-queue [1(io=3)]
(at time 41, process idx=2 , remaining cpu-burst=9) run-queue [3 4 5 6 7 8 9 0], wait-queue [1(io=2)]
(at time 42, process idx=2 , remaining cpu-burst=8) run-queue [3 4 5 6 7 8 9 0], wait-queue [1(io=1)]
(at time 43, process idx=2 , remaining cpu-burst=7) run-queue [3 4 5 6 7 8 9 0 1], wait-queue []
(at time 44, process idx=2 , remaining cpu-burst=6) run-queue [3 4 5 6 7 8 9 0 1], wait-queue []
(at time 45, process idx=2 , remaining cpu-burst=5) run-queue [3 4 5 6 7 8 9 0 1], wait-queue []
(at time 46, process idx=2 , remaining cpu-burst=4) run-queue [3 4 5 6 7 8 9 0 1], wait-queue []
(at time 47, process idx=2 , remaining cpu-burst=3) run-queue [3 4 5 6 7 8 9 0 1], wait-queue []
(at time 48, process idx=2 , remaining cpu-burst=2) run-queue [3 4 5 6 7 8 9 0 1], wait-queue []
(at time 49, process idx=2 , remaining cpu-burst=1) run-queue [3 4 5 6 7 8 9 0 1], wait-queue []
(at time 50, process idx=3 , remaining cpu-burst=20) run-queue [4 5 6 7 8 9 0 1], wait-queue [2(io=5)]
(at time 51, process idx=3 , remaining cpu-burst=19) run-queue [4 5 6 7 8 9 0 1], wait-queue [2(io=4)]
(at time 52, process idx=3 , remaining cpu-burst=18) run-queue [4 5 6 7 8 9 0 1], wait-queue [2(io=3)]
(at time 53, process idx=3 , remaining cpu-burst=17) run-queue [4 5 6 7 8 9 0 1], wait-queue [2(io=2)]
(at time 54, process idx=3 , remaining cpu-burst=16) run-queue [4 5 6 7 8 9 0 1], wait-queue [2(io=1)]
